CKJNFLKG_00001 ko:K00041
CKJNFLKG_05147 ko:K00854
CKJNFLKG_05148 ko:K04477
CKJNFLKG_05149 -
CKJNFLKG_05152 -
CKJNFLKG_05155 -
CKJNFLKG_05156 -
CKJNFLKG_05158 -
CKJNFLKG_05159 ko:K03657
CKJNFLKG_05160 -
CKJNFLKG_05161 -
CKJNFLKG_05188 -
CKJNFLKG_05202 -
CKJNFLKG_05208 -
CKJNFLKG_05209 -
CKJNFLKG_05210 -
CKJNFLKG_05211 -
CKJNFLKG_05212 -
CKJNFLKG_05213 -
