locus_tag	ftype	length_bp	gene	EC_number	COG	product
CKJNFLKG_04085	CDS	399				hypothetical protein
CKJNFLKG_04086	CDS	747				hypothetical protein
CKJNFLKG_04087	CDS	2127	topB_3	5.6.2.1	COG0550	DNA topoisomerase 3
CKJNFLKG_04088	CDS	9201				hypothetical protein
CKJNFLKG_04089	CDS	5490				hypothetical protein
CKJNFLKG_04090	CDS	231				hypothetical protein
CKJNFLKG_04091	CDS	912				hypothetical protein
CKJNFLKG_04092	CDS	888				hypothetical protein
CKJNFLKG_04093	CDS	507				hypothetical protein
CKJNFLKG_04094	CDS	666				hypothetical protein
CKJNFLKG_04095	CDS	1653				hypothetical protein
CKJNFLKG_04096	CDS	417				hypothetical protein
CKJNFLKG_04097	CDS	1545	moaA_9			GTP 3',8-cyclase
CKJNFLKG_04098	CDS	1131				hypothetical protein
CKJNFLKG_04099	CDS	183				hypothetical protein
CKJNFLKG_04100	CDS	1794	btuD_15	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CKJNFLKG_04101	CDS	825	baeR		COG0745	Transcriptional regulatory protein BaeR
CKJNFLKG_04102	CDS	1128	sasA_22	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04103	CDS	1386				hypothetical protein
CKJNFLKG_04104	CDS	645			COG1136	putative ABC transporter ATP-binding protein
CKJNFLKG_04105	CDS	687				hypothetical protein
CKJNFLKG_04106	CDS	1152				IS91 family transposase ISAzo26
CKJNFLKG_04107	CDS	852				IS91 family transposase ISMno24
CKJNFLKG_04108	CDS	186				hypothetical protein
CKJNFLKG_04109	CDS	441				hypothetical protein
CKJNFLKG_04110	CDS	270				hypothetical protein
CKJNFLKG_04111	CDS	189				hypothetical protein
CKJNFLKG_04112	CDS	168				hypothetical protein
CKJNFLKG_04113	CDS	1287	Int-Tn_5			Transposase from transposon Tn916
CKJNFLKG_04114	CDS	273				hypothetical protein
CKJNFLKG_04115	CDS	486				hypothetical protein
CKJNFLKG_04116	CDS	1074				hypothetical protein
CKJNFLKG_04117	CDS	633				hypothetical protein
CKJNFLKG_04118	CDS	360				hypothetical protein
CKJNFLKG_04119	CDS	2091				hypothetical protein
CKJNFLKG_04120	CDS	2028				hypothetical protein
CKJNFLKG_04121	CDS	2541				hypothetical protein
CKJNFLKG_04122	CDS	552				hypothetical protein
CKJNFLKG_04123	CDS	672				hypothetical protein
CKJNFLKG_04124	CDS	177				hypothetical protein
CKJNFLKG_04125	CDS	1155				hypothetical protein
CKJNFLKG_04126	CDS	1863				hypothetical protein
CKJNFLKG_04127	CDS	1413				hypothetical protein
CKJNFLKG_04128	CDS	414				hypothetical protein
CKJNFLKG_04129	CDS	4536				hypothetical protein
CKJNFLKG_04130	CDS	1134			COG3177	putative protein
CKJNFLKG_04131	CDS	549				hypothetical protein
CKJNFLKG_04132	CDS	474				hypothetical protein
CKJNFLKG_04133	CDS	558				hypothetical protein
CKJNFLKG_04134	CDS	399				hypothetical protein
CKJNFLKG_04135	CDS	315				hypothetical protein
CKJNFLKG_04136	CDS	516				hypothetical protein
CKJNFLKG_04137	CDS	465				hypothetical protein
CKJNFLKG_04138	CDS	369				hypothetical protein
CKJNFLKG_04139	CDS	414				hypothetical protein
CKJNFLKG_04140	CDS	300				hypothetical protein
CKJNFLKG_04141	CDS	474				hypothetical protein
CKJNFLKG_04142	CDS	312				hypothetical protein
CKJNFLKG_04143	CDS	165				hypothetical protein
CKJNFLKG_04144	CDS	606				hypothetical protein
CKJNFLKG_04145	CDS	753	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
CKJNFLKG_04146	CDS	816				hypothetical protein
CKJNFLKG_04147	CDS	333				hypothetical protein
CKJNFLKG_04148	CDS	474				hypothetical protein
CKJNFLKG_04149	CDS	558				hypothetical protein
CKJNFLKG_04150	CDS	405				hypothetical protein
CKJNFLKG_04151	CDS	417				hypothetical protein
CKJNFLKG_04152	CDS	552				hypothetical protein
CKJNFLKG_04153	CDS	660				hypothetical protein
CKJNFLKG_04154	CDS	345				hypothetical protein
CKJNFLKG_04155	CDS	720				hypothetical protein
CKJNFLKG_04156	CDS	603	dapH_5	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
CKJNFLKG_04157	CDS	768				hypothetical protein
CKJNFLKG_04158	CDS	450				hypothetical protein
CKJNFLKG_04159	CDS	1290				hypothetical protein
CKJNFLKG_04160	CDS	162				hypothetical protein
CKJNFLKG_04161	CDS	396				hypothetical protein
CKJNFLKG_04162	CDS	189				hypothetical protein
CKJNFLKG_04163	CDS	378				hypothetical protein
CKJNFLKG_04164	CDS	2334				hypothetical protein
CKJNFLKG_04165	CDS	684	ytrE_2		COG1136	ABC transporter ATP-binding protein YtrE
CKJNFLKG_04166	CDS	1236	sasA_23	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04167	CDS	684	regX3_7		COG0745	Sensory transduction protein regX3
CKJNFLKG_04168	CDS	204				hypothetical protein
CKJNFLKG_04169	CDS	372				hypothetical protein
CKJNFLKG_04170	CDS	483				hypothetical protein
CKJNFLKG_04171	CDS	351				hypothetical protein
CKJNFLKG_04172	CDS	906				hypothetical protein
CKJNFLKG_04173	CDS	621				hypothetical protein
CKJNFLKG_04174	CDS	1203				hypothetical protein
CKJNFLKG_04175	CDS	1059	rhaS_23			HTH-type transcriptional activator RhaS
CKJNFLKG_04176	CDS	1332	mepA_18			Multidrug export protein MepA
CKJNFLKG_04177	CDS	957				hypothetical protein
CKJNFLKG_04178	CDS	429				hypothetical protein
CKJNFLKG_04179	CDS	486				hypothetical protein
CKJNFLKG_04180	CDS	867				hypothetical protein
CKJNFLKG_04181	CDS	1242	entS_2			Enterobactin exporter EntS
CKJNFLKG_04182	CDS	654				hypothetical protein
CKJNFLKG_04183	CDS	924				hypothetical protein
CKJNFLKG_04184	CDS	765	mta_2		COG0789	HTH-type transcriptional activator mta
CKJNFLKG_04185	CDS	108				hypothetical protein
CKJNFLKG_04186	CDS	1452				hypothetical protein
CKJNFLKG_04187	CDS	1332				hypothetical protein
CKJNFLKG_04188	CDS	534	ybdM_2		COG1475	putative protein YbdM
CKJNFLKG_04189	CDS	1698				hypothetical protein
CKJNFLKG_04190	CDS	1194	hipO	3.5.1.32	COG1473	Hippurate hydrolase
CKJNFLKG_04191	CDS	1065				hypothetical protein
CKJNFLKG_04192	CDS	1959				hypothetical protein
CKJNFLKG_04193	CDS	1323				hypothetical protein
CKJNFLKG_04194	CDS	885	lacF_12			Lactose transport system permease protein LacF
CKJNFLKG_04195	CDS	846	araQ_19		COG0395	L-arabinose transport system permease protein AraQ
CKJNFLKG_04196	CDS	495		3.2.1.55	COG3534	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
CKJNFLKG_04197	CDS	1011	abfA	3.2.1.55	COG3534	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase 1
CKJNFLKG_04198	CDS	993	ccpA_3		COG1609	Catabolite control protein A
CKJNFLKG_04199	CDS	969		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
CKJNFLKG_04200	CDS	2106				hypothetical protein
CKJNFLKG_04201	CDS	702	walR_8		COG0745	Transcriptional regulatory protein WalR
CKJNFLKG_04202	CDS	1122	sasA_24	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04203	CDS	2109				hypothetical protein
CKJNFLKG_04204	CDS	534				hypothetical protein
CKJNFLKG_04205	CDS	1701	smc_6			Chromosome partition protein Smc
CKJNFLKG_04206	CDS	1233				hypothetical protein
CKJNFLKG_04207	CDS	957				hypothetical protein
CKJNFLKG_04208	CDS	840	araQ_20		COG0395	L-arabinose transport system permease protein AraQ
CKJNFLKG_04209	CDS	1110	btuD_16	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CKJNFLKG_04210	CDS	465	sbmC			DNA gyrase inhibitor
CKJNFLKG_04211	CDS	672				hypothetical protein
CKJNFLKG_04212	CDS	966				hypothetical protein
CKJNFLKG_04213	CDS	642	pcp	3.4.19.3		Pyrrolidone-carboxylate peptidase
CKJNFLKG_04214	CDS	426				hypothetical protein
CKJNFLKG_04215	CDS	240				hypothetical protein
CKJNFLKG_04216	CDS	450				hypothetical protein
CKJNFLKG_04217	CDS	1464	nanR_4			HTH-type transcriptional repressor NanR
CKJNFLKG_04218	CDS	744	rcsC_18	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_04219	CDS	1224	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
CKJNFLKG_04220	CDS	1653	cheB_4	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
CKJNFLKG_04221	CDS	363				hypothetical protein
CKJNFLKG_04222	CDS	2559	rcsC_19	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_04223	CDS	693	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
CKJNFLKG_04224	CDS	1032	sasA_25	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04225	CDS	666	yknY_5	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
CKJNFLKG_04226	CDS	2424				hypothetical protein
CKJNFLKG_04227	CDS	114				hypothetical protein
CKJNFLKG_04228	CDS	231				hypothetical protein
CKJNFLKG_04229	CDS	813				hypothetical protein
CKJNFLKG_04230	CDS	474				hypothetical protein
CKJNFLKG_04231	CDS	588				hypothetical protein
CKJNFLKG_04232	CDS	816	rhaS_24			HTH-type transcriptional activator RhaS
CKJNFLKG_04233	CDS	900				hypothetical protein
CKJNFLKG_04234	CDS	444				hypothetical protein
CKJNFLKG_04235	CDS	699	walR_9		COG0745	Transcriptional regulatory protein WalR
CKJNFLKG_04236	CDS	1146	sasA_26	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04237	CDS	1053				hypothetical protein
CKJNFLKG_04238	CDS	972	vanH	1.1.1.-		D-specific alpha-keto acid dehydrogenase
CKJNFLKG_04239	CDS	1032	vanB	6.1.2.1	COG1181	Vancomycin B-type resistance protein VanB
CKJNFLKG_04240	CDS	612	vanX	3.4.13.22		D-alanyl-D-alanine dipeptidase
CKJNFLKG_04241	CDS	1413	mgtE		COG2239	Magnesium transporter MgtE
CKJNFLKG_04242	CDS	1365	sasA_27	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04243	CDS	696	regX3_8		COG0745	Sensory transduction protein regX3
CKJNFLKG_04244	CDS	924	bcrA_11			Bacitracin transport ATP-binding protein BcrA
CKJNFLKG_04245	CDS	786				hypothetical protein
CKJNFLKG_04246	CDS	792				hypothetical protein
CKJNFLKG_04247	CDS	342				hypothetical protein
CKJNFLKG_04248	CDS	603				hypothetical protein
CKJNFLKG_04249	CDS	756				hypothetical protein
CKJNFLKG_04250	CDS	981				hypothetical protein
CKJNFLKG_04251	CDS	507				hypothetical protein
CKJNFLKG_04252	CDS	1161	tetA			Tetracycline resistance protein, class B
CKJNFLKG_04253	CDS	2571				hypothetical protein
CKJNFLKG_04254	CDS	612	kstR2			HTH-type transcriptional repressor KstR2
CKJNFLKG_04255	CDS	831	xerD_4			Tyrosine recombinase XerD
CKJNFLKG_04256	CDS	774				hypothetical protein
CKJNFLKG_04257	CDS	372	ctrA			Cell cycle response regulator CtrA
CKJNFLKG_04258	CDS	1044	rhaR_18			HTH-type transcriptional activator RhaR
CKJNFLKG_04259	CDS	900				hypothetical protein
CKJNFLKG_04260	CDS	384				hypothetical protein
CKJNFLKG_04261	CDS	846				hypothetical protein
CKJNFLKG_04262	CDS	147				hypothetical protein
CKJNFLKG_04263	CDS	264				hypothetical protein
CKJNFLKG_04264	CDS	537				hypothetical protein
CKJNFLKG_04265	CDS	1377	mepA_19			Multidrug export protein MepA
CKJNFLKG_04266	CDS	264	csoR_3		COG1937	Copper-sensing transcriptional repressor CsoR
CKJNFLKG_04267	CDS	2565	copA_2	7.2.2.8		Copper-exporting P-type ATPase
CKJNFLKG_04268	CDS	219				hypothetical protein
CKJNFLKG_04269	CDS	1866	cadA_3	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
CKJNFLKG_04270	CDS	366	ziaR_2			Transcriptional repressor SmtB 
CKJNFLKG_04271	CDS	318	ziaR_3			Transcriptional repressor SmtB 
CKJNFLKG_04272	CDS	519	nfrA2_2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
CKJNFLKG_04273	CDS	333	ytcD_2		COG1733	putative HTH-type transcriptional regulator YtcD
CKJNFLKG_04274	CDS	372				hypothetical protein
CKJNFLKG_04275	CDS	321				hypothetical protein
CKJNFLKG_04276	CDS	738				hypothetical protein
CKJNFLKG_04277	CDS	549				hypothetical protein
CKJNFLKG_04278	CDS	183				hypothetical protein
CKJNFLKG_04279	CDS	1971	ligA_2	6.5.1.2		DNA ligase
CKJNFLKG_04280	CDS	210				hypothetical protein
CKJNFLKG_04281	CDS	747				hypothetical protein
CKJNFLKG_04282	CDS	324				hypothetical protein
CKJNFLKG_04283	CDS	801				hypothetical protein
CKJNFLKG_04284	CDS	429				hypothetical protein
CKJNFLKG_04285	CDS	378				hypothetical protein
CKJNFLKG_04286	CDS	213				hypothetical protein
CKJNFLKG_04287	CDS	681				hypothetical protein
CKJNFLKG_04288	CDS	732				hypothetical protein
CKJNFLKG_04289	CDS	666				hypothetical protein
CKJNFLKG_04290	CDS	390				hypothetical protein
CKJNFLKG_04291	CDS	564				hypothetical protein
CKJNFLKG_04292	CDS	450				hypothetical protein
CKJNFLKG_04293	CDS	162				hypothetical protein
CKJNFLKG_04294	CDS	528				hypothetical protein
CKJNFLKG_04295	CDS	381				hypothetical protein
CKJNFLKG_04296	CDS	759				hypothetical protein
CKJNFLKG_04297	CDS	1875				hypothetical protein
CKJNFLKG_04298	CDS	2253				hypothetical protein
CKJNFLKG_04299	CDS	1125				hypothetical protein
CKJNFLKG_04300	CDS	258				hypothetical protein
CKJNFLKG_04301	CDS	1275				IS110 family transposase ISGka2
CKJNFLKG_04302	CDS	984				hypothetical protein
CKJNFLKG_04303	CDS	933				hypothetical protein
CKJNFLKG_04304	CDS	327				hypothetical protein
CKJNFLKG_04305	CDS	1143				hypothetical protein
CKJNFLKG_04306	CDS	1038				hypothetical protein
CKJNFLKG_04307	CDS	522				hypothetical protein
CKJNFLKG_04308	CDS	2172	recD2_2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
CKJNFLKG_04309	CDS	444				hypothetical protein
CKJNFLKG_04310	CDS	759				hypothetical protein
CKJNFLKG_04311	CDS	1059				hypothetical protein
CKJNFLKG_04312	CDS	921				hypothetical protein
CKJNFLKG_04313	CDS	363				hypothetical protein
CKJNFLKG_04314	CDS	345				hypothetical protein
CKJNFLKG_04315	CDS	411				hypothetical protein
CKJNFLKG_04316	CDS	192				hypothetical protein
CKJNFLKG_04317	CDS	210				hypothetical protein
CKJNFLKG_04318	CDS	171				hypothetical protein
CKJNFLKG_04319	CDS	1233	Int-Tn_6			Transposase from transposon Tn916
CKJNFLKG_04320	CDS	447	metG_2	6.1.1.10	COG0073	Methionine--tRNA ligase
CKJNFLKG_04321	CDS	189				hypothetical protein
CKJNFLKG_04322	CDS	1629				hypothetical protein
CKJNFLKG_04323	CDS	1284				hypothetical protein
CKJNFLKG_04324	CDS	1059	fokIM	2.1.1.72		Modification methylase FokI
CKJNFLKG_04325	CDS	2511				hypothetical protein
CKJNFLKG_04326	CDS	351				hypothetical protein
CKJNFLKG_04327	CDS	1476				hypothetical protein
CKJNFLKG_04328	CDS	885	rhaS_25			HTH-type transcriptional activator RhaS
CKJNFLKG_04329	CDS	729	qseB			Transcriptional regulatory protein QseB
CKJNFLKG_04330	CDS	396				hypothetical protein
CKJNFLKG_04331	CDS	684	bceA_6		COG1136	Bacitracin export ATP-binding protein BceA
CKJNFLKG_04332	CDS	726				hypothetical protein
CKJNFLKG_04333	CDS	1371	mepA_20			Multidrug export protein MepA
CKJNFLKG_04334	CDS	798				hypothetical protein
CKJNFLKG_04335	CDS	180				hypothetical protein
CKJNFLKG_04336	CDS	834	rhaS_26			HTH-type transcriptional activator RhaS
CKJNFLKG_04337	CDS	123				hypothetical protein
CKJNFLKG_04338	CDS	1350				hypothetical protein
CKJNFLKG_04339	CDS	537				hypothetical protein
CKJNFLKG_04340	CDS	1152	hutI_3	3.5.2.7		Imidazolonepropionase
CKJNFLKG_04341	CDS	330				hypothetical protein
CKJNFLKG_04342	CDS	933				hypothetical protein
CKJNFLKG_04343	CDS	1662	hbpA_2		COG0747	Heme-binding protein A
CKJNFLKG_04344	CDS	963	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
CKJNFLKG_04345	CDS	903	gsiD_4		COG1173	Glutathione transport system permease protein GsiD
CKJNFLKG_04346	CDS	1182	abgB_2	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
CKJNFLKG_04347	CDS	1020	oppD_6		COG0444	Oligopeptide transport ATP-binding protein OppD
CKJNFLKG_04348	CDS	987	btuD_17	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CKJNFLKG_04349	CDS	1263	ylmB	3.5.1.-	COG0624	N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase
CKJNFLKG_04350	CDS	864	melR_5			Melibiose operon regulatory protein
CKJNFLKG_04351	CDS	453				hypothetical protein
CKJNFLKG_04352	CDS	1449				hypothetical protein
CKJNFLKG_04353	CDS	858	araQ_21		COG0395	L-arabinose transport system permease protein AraQ
CKJNFLKG_04354	CDS	885	lacF_13			Lactose transport system permease protein LacF
CKJNFLKG_04355	CDS	735		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2
CKJNFLKG_04356	CDS	1152	iolG_14	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
CKJNFLKG_04357	CDS	471				hypothetical protein
CKJNFLKG_04358	CDS	834				hypothetical protein
CKJNFLKG_04359	CDS	1356	bglA	3.2.1.21	COG2723	Beta-glucosidase A
CKJNFLKG_04360	CDS	1407				hypothetical protein
CKJNFLKG_04361	CDS	1167	moaA_10			GTP 3',8-cyclase
CKJNFLKG_04362	CDS	615				hypothetical protein
CKJNFLKG_04363	CDS	1089				hypothetical protein
CKJNFLKG_04364	CDS	342				hypothetical protein
CKJNFLKG_04365	CDS	204				hypothetical protein
CKJNFLKG_04366	CDS	516	nusG			Transcription termination/antitermination protein NusG
CKJNFLKG_04367	CDS	426	rplK		COG0080	50S ribosomal protein L11
CKJNFLKG_04368	CDS	696	rplA			50S ribosomal protein L1
CKJNFLKG_04369	CDS	195				hypothetical protein
CKJNFLKG_04370	CDS	1290				hypothetical protein
CKJNFLKG_04371	CDS	897	xerD_5		COG4974	Tyrosine recombinase XerD
CKJNFLKG_04372	CDS	240				hypothetical protein
CKJNFLKG_04373	CDS	1281	sleL	3.2.1.-	COG3858	Cortical fragment-lytic enzyme
CKJNFLKG_04374	CDS	4878				hypothetical protein
CKJNFLKG_04375	CDS	1026				hypothetical protein
CKJNFLKG_04376	CDS	141				hypothetical protein
CKJNFLKG_04377	CDS	501	rplJ		COG0244	50S ribosomal protein L10
CKJNFLKG_04378	CDS	375	rplL			50S ribosomal protein L7/L12
CKJNFLKG_04379	CDS	474				hypothetical protein
CKJNFLKG_04380	CDS	672				hypothetical protein
CKJNFLKG_04381	CDS	3843	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
CKJNFLKG_04382	CDS	3714	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
CKJNFLKG_04383	CDS	1332	nagZ	3.2.1.52		Beta-hexosaminidase
CKJNFLKG_04384	CDS	414	rpsL		COG0048	30S ribosomal protein S12
CKJNFLKG_04385	CDS	471	rpsG			30S ribosomal protein S7
CKJNFLKG_04386	CDS	2121	fusA_2		COG0480	Elongation factor G
CKJNFLKG_04387	CDS	1194	tuf			Elongation factor Tu
CKJNFLKG_04388	CDS	1260				hypothetical protein
CKJNFLKG_04389	CDS	546				hypothetical protein
CKJNFLKG_04390	CDS	1920	mutS2_2	3.1.-.-	COG1193	Endonuclease MutS2
CKJNFLKG_04391	CDS	1293				hypothetical protein
CKJNFLKG_04392	CDS	705	natR_2		COG3279	Transcriptional regulatory protein NatR
CKJNFLKG_04393	CDS	756	yxdL_3		COG1136	ABC transporter ATP-binding protein YxdL
CKJNFLKG_04394	CDS	2073				hypothetical protein
CKJNFLKG_04395	CDS	1317	sasA_28	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04396	CDS	681	arlR_5		COG0745	Response regulator ArlR
CKJNFLKG_04397	CDS	2256				hypothetical protein
CKJNFLKG_04398	CDS	867				hypothetical protein
CKJNFLKG_04399	CDS	864	araQ_22		COG0395	L-arabinose transport system permease protein AraQ
CKJNFLKG_04400	CDS	1467				hypothetical protein
CKJNFLKG_04401	CDS	1029				hypothetical protein
CKJNFLKG_04402	CDS	609	lacA_3	2.3.1.18	COG0110	Galactoside O-acetyltransferase
CKJNFLKG_04403	CDS	1341	yeeO_8		COG0534	putative FMN/FAD exporter YeeO
CKJNFLKG_04404	CDS	891	rhaS_27			HTH-type transcriptional activator RhaS
CKJNFLKG_04405	CDS	147				hypothetical protein
CKJNFLKG_04406	CDS	351				hypothetical protein
CKJNFLKG_04407	CDS	1089				hypothetical protein
CKJNFLKG_04408	CDS	327	frlB	3.5.-.-	COG2222	Fructoselysine 6-phosphate deglycase
CKJNFLKG_04409	CDS	1026	lacR_2		COG1609	HTH-type transcriptional regulator LacR
CKJNFLKG_04410	CDS	3183	ebgA_2	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
CKJNFLKG_04411	CDS	891	lacF_14			Lactose transport system permease protein LacF
CKJNFLKG_04412	CDS	840	lacG_3			Lactose transport system permease protein LacG
CKJNFLKG_04413	CDS	1296	lacE_3			Lactose-binding protein
CKJNFLKG_04414	CDS	1368	yeeO_9		COG0534	putative FMN/FAD exporter YeeO
CKJNFLKG_04415	CDS	1041	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
CKJNFLKG_04416	CDS	882				hypothetical protein
CKJNFLKG_04417	CDS	993	melR_6		COG1609	HTH-type transcriptional repressor MelR
CKJNFLKG_04418	CDS	1080				hypothetical protein
CKJNFLKG_04419	CDS	486				hypothetical protein
CKJNFLKG_04420	CDS	996				hypothetical protein
CKJNFLKG_04421	CDS	483				hypothetical protein
CKJNFLKG_04422	CDS	216				hypothetical protein
CKJNFLKG_04423	CDS	1425				hypothetical protein
CKJNFLKG_04424	CDS	669	regX3_9		COG0745	Sensory transduction protein regX3
CKJNFLKG_04425	CDS	981	sasA_29	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04426	CDS	675	yknY_6	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
CKJNFLKG_04427	CDS	243				hypothetical protein
CKJNFLKG_04428	CDS	2367				hypothetical protein
CKJNFLKG_04429	CDS	489	sigW_4		COG1595	ECF RNA polymerase sigma factor SigW
CKJNFLKG_04430	CDS	630				hypothetical protein
CKJNFLKG_04431	CDS	1038			COG1638	putative protein
CKJNFLKG_04432	CDS	480	uehB_2		COG3090	Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB
CKJNFLKG_04433	CDS	1284	dctM_5		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
CKJNFLKG_04434	CDS	858	aptA_4	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
CKJNFLKG_04435	CDS	936	aptB_4	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
CKJNFLKG_04436	CDS	759	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CKJNFLKG_04437	CDS	729	nanR_5			HTH-type transcriptional repressor NanR
CKJNFLKG_04438	CDS	1926				hypothetical protein
CKJNFLKG_04439	CDS	1335	xylP_8			Isoprimeverose transporter
CKJNFLKG_04440	CDS	639				hypothetical protein
CKJNFLKG_04441	CDS	453	bltD	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
CKJNFLKG_04442	CDS	1095	kamA	5.4.3.2		L-lysine 2,3-aminomutase
CKJNFLKG_04443	CDS	663				hypothetical protein
CKJNFLKG_04444	CDS	552	rsxB_6	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
CKJNFLKG_04445	CDS	1593	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
CKJNFLKG_04446	CDS	456				hypothetical protein
CKJNFLKG_04447	CDS	528				hypothetical protein
CKJNFLKG_04448	CDS	1677				hypothetical protein
CKJNFLKG_04449	CDS	3276				hypothetical protein
CKJNFLKG_04450	CDS	846	btr		COG0614	HTH-type transcriptional activator Btr
CKJNFLKG_04451	CDS	2049				hypothetical protein
CKJNFLKG_04452	CDS	1059	mro_2	5.1.3.3	COG2017	Aldose 1-epimerase
CKJNFLKG_04453	CDS	1362				hypothetical protein
CKJNFLKG_04454	CDS	3270				hypothetical protein
CKJNFLKG_04455	CDS	639				hypothetical protein
CKJNFLKG_04456	CDS	987	nlhH_2	3.1.1.1	COG0657	Carboxylesterase NlhH
CKJNFLKG_04457	CDS	1278				hypothetical protein
CKJNFLKG_04458	CDS	666				hypothetical protein
CKJNFLKG_04459	CDS	1110	buk2	2.7.2.7	COG3426	Butyrate kinase 2
CKJNFLKG_04460	CDS	519				hypothetical protein
CKJNFLKG_04461	CDS	909				hypothetical protein
CKJNFLKG_04462	CDS	1596	cheB_5	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
CKJNFLKG_04463	CDS	1812				hypothetical protein
CKJNFLKG_04464	CDS	1524				hypothetical protein
CKJNFLKG_04465	CDS	1356				hypothetical protein
CKJNFLKG_04466	CDS	873	melD_12		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
CKJNFLKG_04467	CDS	870	ngcG_7		COG0395	Diacetylchitobiose uptake system permease protein NgcG
CKJNFLKG_04468	CDS	2169	lacZ_5	3.2.1.23		Beta-galactosidase
CKJNFLKG_04469	CDS	2325	sasA_30	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04470	CDS	714	phoP_4		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
CKJNFLKG_04471	CDS	1107	aroC	4.2.3.5		Chorismate synthase
CKJNFLKG_04472	CDS	1014	ansA	3.5.1.1	COG0252	L-asparaginase 1
CKJNFLKG_04473	CDS	273				hypothetical protein
CKJNFLKG_04474	CDS	675	mprA_2			Response regulator MprA
CKJNFLKG_04475	CDS	1362	sasA_31	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_04476	CDS	717				hypothetical protein
CKJNFLKG_04477	CDS	867	rlmL_2	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
CKJNFLKG_04478	CDS	2586		7.2.2.10		Calcium-transporting ATPase 1
CKJNFLKG_04479	CDS	1281			COG1167	Putative aminotransferase/MSMEI_6121
CKJNFLKG_04480	CDS	1404				hypothetical protein
CKJNFLKG_04481	CDS	1452				hypothetical protein
CKJNFLKG_04482	CDS	3141				hypothetical protein
CKJNFLKG_04483	CDS	909	rhaR_19			HTH-type transcriptional activator RhaR
CKJNFLKG_04484	CDS	1032	ddl_1	6.3.2.4	COG1181	D-alanine--D-alanine ligase
CKJNFLKG_04485	CDS	1380	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CKJNFLKG_04486	CDS	1137	xerC_8			Tyrosine recombinase XerC
CKJNFLKG_04487	CDS	1206				hypothetical protein
CKJNFLKG_04488	CDS	2244	pglF_3	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
